,0
0,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004120_006828_10.jpg
1,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004661_012146_10.jpg
2,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_013166_10.jpg
3,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004298_008249_10.jpg
4,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004255_007702_10.jpg
5,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004316_008338_10.jpg
6,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004226_007341_10.jpg
7,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004750_013727_10.jpg
8,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004238_007651_10.jpg
9,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003890_005232_10.jpg
10,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004286_008081_10.jpg
11,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008723_10.jpg
12,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004373_009047_10.jpg
13,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004541_009916_10.jpg
14,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003904_005386_10.jpg
15,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_013121_10.jpg
16,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004665_012793_10.jpg
17,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008412_10.jpg
18,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004278_007868_10.jpg
19,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004313_008308_10.jpg
20,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004173_007062_10.jpg
21,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_012996_10.jpg
22,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004286_007962_10.jpg
23,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_007816_10.jpg
24,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004661_012130_10.jpg
25,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004686_012803_10.jpg
26,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004311_008292_10.jpg
27,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004488_009579_10.jpg
28,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004221_007279_10.jpg
29,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_007865_10.jpg
30,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004116_006773_10.jpg
31,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004379_009240_10.jpg
32,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004456_009467_10.jpg
33,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004231_007597_10.jpg
34,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004497_009626_10.jpg
35,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003823_004263_10.jpg
36,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_013141_10.jpg
37,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008377_10.jpg
38,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008363_10.jpg
39,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004204_007162_10.jpg
40,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004564_009939_10.jpg
41,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004661_011775_10.jpg
42,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_013267_10.jpg
43,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003754_003876_10.jpg
44,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004231_007557_10.jpg
45,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004680_012676_10.jpg
46,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003777_003965_10.jpg
47,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004750_013785_10.jpg
48,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_007854_10.jpg
49,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008262_10.jpg
50,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004499_009639_10.jpg
51,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003808_004088_10.jpg
52,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008609_10.jpg
53,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004379_009198_10.jpg
54,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004348_008834_10.jpg
55,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004680_012677_10.jpg
56,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004655_011533_10.jpg
57,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003754_003851_10.jpg
58,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004661_012417_10.jpg
59,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004646_011032_10.jpg
60,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004231_007499_10.jpg
61,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004364_008959_10.jpg
62,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_007754_10.jpg
63,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004471_009485_10.jpg
64,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_012937_10.jpg
65,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004654_011514_10.jpg
66,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004282_008036_10.jpg
67,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004227_007382_10.jpg
68,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008089_10.jpg
69,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004475_009509_10.jpg
70,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004282_008066_10.jpg
71,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004541_009918_10.jpg
72,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004380_009174_10.jpg
73,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_012978_10.jpg
74,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008515_10.jpg
75,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004642_010974_10.jpg
76,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004727_013303_10.jpg
77,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004661_012159_10.jpg
78,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004372_009137_10.jpg
79,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004643_011015_10.jpg
80,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004376_009124_10.jpg
81,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008369_10.jpg
82,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004286_008041_10.jpg
83,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008008_10.jpg
84,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003880_004938_10.jpg
85,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004007_006132_10.jpg
86,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004750_013535_10.jpg
87,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004368_008976_10.jpg
88,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003925_005712_10.jpg
89,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004644_011021_10.jpg
90,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003815_004137_10.jpg
91,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003874_004915_10.jpg
92,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004400_009394_10.jpg
93,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008401_10.jpg
94,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_012930_10.jpg
95,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003823_004261_10.jpg
96,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004023_006355_10.jpg
97,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004619_010719_10.jpg
98,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004302_008147_10.jpg
99,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004020_006314_10.jpg
100,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004480_009547_10.jpg
101,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004329_008624_10.jpg
102,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004213_007345_10.jpg
103,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008661_10.jpg
104,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003878_004987_10.jpg
105,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_012856_10.jpg
106,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003878_005035_10.jpg
107,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008145_10.jpg
108,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_012935_10.jpg
109,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/003925_005685_10.jpg
110,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_013082_10.jpg
111,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004669_012558_10.jpg
112,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004616_010482_10.jpg
113,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004488_009566_10.jpg
114,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004665_012654_10.jpg
115,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_008642_10.jpg
116,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004665_012827_10.jpg
117,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004536_009852_10.jpg
118,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004286_008064_10.jpg
119,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004661_012267_10.jpg
120,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004247_007849_10.jpg
121,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004488_009590_10.jpg
122,/vinbrain/nguyenphan/label_10k_imgs_and_file_name/label_10k_imgs/4/004688_013339_10.jpg
