idx,chapter,question,answer
1,10,what is the  related between stroke and another diseases ?,"Many of the risks for stroke are linked together — one condition aggravates or causes another, like dominoes in your vascular system
High blood pressure puts more wear and tear on blood vessels and seems to worsen atherosclero- sis, probably because the plaque formation has something to do with the healing process that occurs when the lining of an artery is injured
Atherosclerosis is further aggravated by diabetes
High blood glucose levels seem to lead to injuries in the blood vessels
Diabetes also injures the heart muscles, resulting in more sources of clots to break loose and injure the brain."
2,10,could you tell me about risk factors of stroke ?,"Family history
Age
Gender
Race
Previous stroke
Hypertension
High blood lipids and cholesterol
Heart and vascular disease
Smoking tobacco
Diabetes
Obesity
Oral contraceptives and estrogen replacement
Drug and alcohol abuse"
3,10,how can I classify risk factors of stroke ?,"Some risks factors you can’t control
Other risks are treatable or preventable."
4,10,could you help me define what is the hypertension ?,"High blood pressure, the most important factor deter-
mining the likelihood that you will have a stroke"
5,10,how bad for me is smoking tobacco ?,"Smoking is the biggest preventable cause of death in the United States
In the U.S., roughly 440,000 people die each year from smoking-related illnesses
Treating the effects of smoking puts a chokehold on our nation’s health costs — we’re talking in the range of $70 billion per year
And yet each day nearly 4,000 young people under the age of 18 light up for the first time, according to some esti- mates."
6,10,what is the  related between stroke and blood diseases ?,"These sub- stances cause blood vessels to constrict (there goes your blood pressure!), reduce oxygen (forcing the heart to work harder), scrape the inside of the blood vessels (forming plaques), and make blood “stickier” (leading to more vessel damage and paving the way for atherosclerosis and clots)."
7,10,could you help me compare affect between smokers and non smokers ?,"Your risk of having a stroke is about 30 percent
more than a nonsmoker who doesn’t inhale someone else’s smoke."
8,10,how can I plan of action to stop smoking ?,"The plan of action to reduce stroke risk caused by smoking is: Stop! There are programs to help you stop smoking
There are approved drugs to help you get over your dependence on nicotine
If you smoke, then chances are very good that you’ve tried to stop
The pain of stopping is immediate and the benefits seem a little vague when you are in withdrawal
You need to find what is motivating you to smoke and tackle that."
9,10,what kind of approaches to stopping smoking ?,"There are quite a few approaches to stopping smoking, including structured programs that offer various tools for quitting, including medication, psycho- logical support, group support, and behavior-modification techniques."
10,10,what is benefits if I stop smoking ?,"Good evidence supports that stopping smoking will reduce your risk of stroke, even if you have been smok- ing for decades or have had one or more strokes
The benefits of breathing better, not coughing as much, and not getting as many infections are always immediate and increase your health and well-being."
11,10,what is related between stroke and heart vascular diseases ?,"If you have had a stroke, you are more likely to have a heart attack in the future
Once again, we see how interrelated the heart and the brain are to each other
The reasons and level of risk vary based on the type of heart dis- ease
Several heart diseases are connected to stroke because heart disease produces conditions that increase blood clotting, which results in stroke
Treatment almost always includes some medication to slow blood clotting."
