_id,question,answers
beeae70b,How do I take care of a person who suffered stroke disease?,"It is lovely that you want to learn. Speak with the doctor and therapists about specific precautions.
Remove throw rugs and clear the floor of things one might trip on. Install hand rails around stairs and grab bars in the bathroom/shower/toilet.
Encourage him/her to do whatever s/he can do safely. Falling is common and can cause serious injury because normal reflexes to protect the head don’t always kick in. Another brain injury could cause further damage.
Find tools that help the person be independent. For example, a “rocker knife” will let him/her cut food with one hand, so s/he doesn’t need someone to cut his/her food into bite sized pieces.
Recovery will continue for the rest of his/her life if s/he continues to work on improving and if s/he is permitted to try. I climbed six storeys on Saturday because the elevator was out of service. My husband had said “you can’t do that” but I could and I did. I held tightly to the rail and took a break on the last landing to regain my breath, but I made it.
Give them time to master skills — don’t assume they can’t do something just because they are awkward initially. We are survivors not victims."
95b1e55d,Is it really true that blood groups other than O type are more prone to heart attack and heart/stroke diseases?,"There is an association with heart disease and non-O+/- blood groups. The exact reasons are not known, so causation has not been established. The increased risk is less than 10%.
Your Blood Type Could Be Linked to a Higher Risk of Heart Attack or
Stroke"
fde6fb92,What are some useful tips for living a normal life with Stroke DISEASE?,
595a06ea,Is stroke linked to Alzheimer's disease?,"No, strokes don’t cause Alzheimer’s.
However, Alzheimer’s is just one type of dementia, and there are quite a few other types, with the largest being “mixed”, or Alzheimer’s and something else. And what a stroke can do- besides causing dementia, itself- is speed up the damage going on in the brain when any kind of dementia is already present.
And, keep in mind it is thought Alzheimer’s is “present” but undiagnosed because it just hasn’t gotten to the point it is interfering with life, up to ten years before such interference, so that, a stroke in that ten or-so year period can make it seem it was the cause of Alzheimer’s. It likely wasn’t; it just sped up the damage.
Avoiding a stroke is one of the top five ways to avoid any dementia. Doesn’t mean no-stroke-no-dementia, just that stroke is, itself indicted in some forms of dementia."
d560ef77,Can you get a stroke from having aortic valve disease?,"Yes but that depends on what sort of aortic arch “disease” your talking about. If it’s a congenital coarctation malformation,Aortic stenosis, aneurism or aortic stricture it can cause areas of restricted or pooled blood flow. Technically yes anytime you slow dwell time in blood vessels tiny emboli can develop. In the case of the Aorta it can cause emboli to get thrown up the carotid artery and cause strokes (Aka emboli or embolic showers) in the brain. Often if this is discovered it’s highly recommended to take long term anticoagulants. Surgery or minimal invasive procedures are often recommended.
I want to stress that although concerning, this kind of disease can be well monitored managed and followed up on. You may need to see one or more specialists. Find a good health provider doctor,nurse practitioner or physicians assistant and start with a full health physical H&P (history and physical exam) People can live long relatively healthy lives with Aortic arch problems."
947ab37d,What are the exercises to prevent heart disease and stroke?,"Sometimes, muscle mass exercise, aerobic exercise, and lung health can greatly effect the health of the heart.
The health of the heart, is related to the lungs.
Exercise, aerobic exercises of all sorts, promotes the formation of capillaries, and vessels and additional blood supplies through vessels that only happens through stress and exercise that promote the formation of.
Some of those of outside capillaries that can grow and give vessels to supply oxygen to the heart muscle. (On the outside of the heart muscles to provide capillaries and then oxygen)
Exercise can spur that in the body.
Heart disease is a lot of things, genetics, and damages, many things not under the control of the individual.
The heart muscle cells, not not regenerate, so things that had and adverse effect, the heart muscles and cells does not recover or regenerate.
Exercise, can create or spur other capalery effect on the outside of the heart muscle to feed them, with good nutrition and exercise.
A very slight affect, but real effect, to feed the existing heat cells, with oxygen through capalery growth.
Aerobic activity, and types of exercises stresses the system and stimulates the body to produce capillaries, to create new ones to feed organs like, such as the heart muscle."
4dba3508,What can I do to reduce my risk of heart disease and stroke?,"See , if u have hypertension or high cholesterol , feel angina pain in chest where heart is situated , than better take necessary precautions by doing pranayaam that is breathing exercises in yoga and do it properly looking in u tube , do it regularly , but before that 40 min of warm up exercises at home is must and do it gently according to your age , physiological status …..u can take advice of some yoga experts….
Have light , nutritious , delicious diet full of vitamins and minerals , but eat little less , eat little 4 times so that it will not put pressure in your heart , oil and salt are enemies of heart so avoid having oily spicey , junk food , alcohol , smoking , stress , over burden of work at home .
Eat less salt and sugar , have fruits but wash them properly with water , have lot of oranges , lemon juice water in empty stomach in morning , maintain hygiene , have liquid diet , no overeating of food ….all these factors will help to maintain your health. Get check your bp level and sugar levels if possible . And u can take advice from doctor too in phone . Some people having cardiac problems on doctor's advice keep sorbitol or aspirin at home if u feel severe pain keep one of these under your tongue , but take doctor's advice first , i am not doctor so i can't advise u …..
Hence quality food and physical exercises , meditation help to cope up with such problems….Thank you……"
f0148c18,"I want to try the paleo diet, but it claims that potatoes are bad—and doesn't red meat cause strokes and other diseases?","While many on the paleo diet do not eat potatoes, many certainly do. Often the level of starches/carbs is based on someone's goals and activity levels. Higher levels of activity = higher carb intake. Sweet potatoes and white rice are usually the go-tos but white potatoes have their place as well. Additionally there is evidence that white potatoes in the form of resistant starch
can be beneficial for gut bacteria.
As for red meat causing diseases (as many others have pointed out) this is nonsense. Don't determine your diet by what the headlines say is the latest superfood or what food is going to kill you. Its bullshit. Do your homework.
The paleo diet has never been about re-enactment, its a framework for living an optimal life based on human appropriate food, movement, sleep, etc. Over the past few years, the ""paleo diet"" has evolved to be more about real, whole foods than the previous strict dogma. Many folks have started including beans, potatoes, etc. based on their tolerance to these foods and overall health goals.
Find out what works for you and don't get hung up on the minutiae."
5e9376dd,Can intermittent fasting prevent heart diseases and strokes?,"There is a growing body of evidence showing it can reduce the risks of a number of ailments.
However, these studies are not perfect - they have their own limitations, including limited sample sizes, high dropout rates among study participants, as well as debates over exactly how intermittent fasting should be done in order to reap measurable benefits.
Key sources to explore:
Not so fast: Pros and cons of the newest diet trend - Harvard Health
Fasting boosts stem cells’ regenerative capacity
Intermittent fasting - healthy or hype? | American Society for Nutrition
Intermittent fasting promotes adipose thermogenesis and metabolic homeostasis via VEGF-mediated alternative activation of macrophage"
e868e222,Is stroke a hereditary disease?,"Stroke is not hereditary, but there are some inherited conditions that can cause stroke. One example is cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL). Read more about it at: http://ghr.nlm.nih.gov/condition/cerebral-autosomal-dominant-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy"
